atleta_id;nome;apelido;slug;clube_id;clube_nome;clube_abreviacao;posicao_id;posicao_nome;status_id;status_nome;preco_num;variacao_num;media_num;jogos_num;pontos_num
72018;Tiago Luis Volpi;Tiago Volpi;tiago-volpi;284;GRE;GRE;1;Goleiro;6;Nulo;8;0;0;0;0
110311;José Andrés Martínez Torres;José Martínez;jose-martinez;264;COR;COR;4;Meia;6;Nulo;6;0;0;0;0
127242;Luiz Gustavo Lemos Carvalho;Bahia;bahia;264;COR;COR;4;Meia;6;Nulo;2;0;0;0;0
107179;Matheus Planelles Donelli;Matheus Donelli;matheus-donelli;264;COR;COR;1;Goleiro;6;Nulo;3;0;0;0;0
117632;Rodrigo Garro;Garro;garro;264;COR;COR;4;Meia;6;Nulo;12;0;0;0;0
145744;André Luiz Santos Dias;André;andre;264;COR;COR;4;Meia;7;Provável;4;0;0;0;0
125488;João Pedro de Sousa Rodrigues - Tchoca;João Pedro;joao-pedro;264;COR;COR;3;Zagueiro;6;Nulo;5;0;0;0;0
89275;Willian de Asevedo Furtado;William;william;283;CRU;CRU;2;Lateral;7;Provável;12;0;0;0;0
84558;Lucas Daniel Romero;Lucas Romero;lucas-romero;283;CRU;CRU;4;Meia;7;Provável;10;0;0;0;0
79701;Lucas Silva Borges;Lucas Silva;lucas-silva;283;CRU;CRU;4;Meia;7;Provável;9;0;0;0;0
122396;Ryan Gustavo de Lima;Ryan;ryan;264;COR;COR;4;Meia;6;Nulo;3;0;0;0;0
88479;Walace Souza Silva;Walace;walace;283;CRU;CRU;4;Meia;6;Nulo;4;0;0;0;0
131753;Felipe Longo Fernandes da Silva;Felipe Longo;felipe-longo;264;COR;COR;1;Goleiro;6;Nulo;2;0;0;0;0
45125;Adenor Leonardo Bachi;Tite;tite;283;CRU;CRU;6;Técnico;7;Provável;12;0;0;0;0
133543;Guilherme William Silva Inácio;Gui Negão;gui-negao;264;COR;COR;5;Atacante;6;Nulo;5;0;0;0;0
42500;Fagner Conserva Lemos;Fagner;fagner;283;CRU;CRU;2;Lateral;6;Nulo;7;0;0;0;0
96610;Matheus Fellipe Costa Pereira;Matheus Pereira;matheus-pereira;283;CRU;CRU;4;Meia;7;Provável;20;0;0;0;0
141995;Diego da Cruz Lopes;Dieguinho;dieguinho;264;COR;COR;4;Meia;6;Nulo;4;0;0;0;0
111690;Matheus Cunha Queiroz;Matheus Cunha;matheus-cunha;283;CRU;CRU;1;Goleiro;5;Contundido;3;0;0;0;0
114405;Luis Fernando Sinisterra Lucumí;Sinisterra;sinisterra;283;CRU;CRU;5;Atacante;6;Nulo;6;0;0;0;0
100742;Matheus Henrique de Souza;Matheus Henrique;matheus-henrique;283;CRU;CRU;4;Meia;6;Nulo;8;0;0;0;0
124912;Jonathan de Jesus Alves;Jonathan Jesus;jonathan-jesus;283;CRU;CRU;3;Zagueiro;2;Dúvida;6;0;0;0;0
93478;Wanderson Maciel Sousa Campos;Wanderson;wanderson;283;CRU;CRU;5;Atacante;2;Dúvida;6;0;0;0;0
139345;Kauã Prates de Almeida;Kauã Prates;kaua-prates;283;CRU;CRU;2;Lateral;6;Nulo;4;0;0;0;0
